Title,Author,Publishing Year,Language
The Grapes of Wrath,John Steinbeck,1939,English
For Whom the Bell Tolls,Ernest Hemingway,1940,English
Brave New World,Aldous Huxley,1932,English
Nineteen Eighty-Four,George Orwell,1949,English
Lolita,Vladimir Nabokov,1955,English
Ulysses,James Joyce,1922,English
One Hundred Years of Solitude,Gabriel García Márquez,1967,Spanish
The Sound and the Fury,William Faulkner,1929,English
Gone with the Wind,Margaret Mitchell,1936,English
Lady Chatterley's Lover,D. H. Lawrence,1928,English
The Hound of the Baskervilles,Arthur Conan Doyle,1901–02,English
The Great Gatsby,F. Scott Fitzgerald,1925,English
The Murder of Roger Ackroyd,Agatha Christie,1926,English
The War of the Worlds,H. G. Wells,1898[a],English
The Lord of the Rings,J.R.R. Tolkien,1954–55,English
Martin Eden,Jack London,1909,English
On the Road,Jack Kerouac,1957,English
A Room of One's Own,Virginia Woolf,1929,English
The Martian Chronicles,Ray Bradbury,1950,English
Lord Jim,Joseph Conrad,1900,English
Manhattan Transfer,John Dos Passos,1925,English
Ficciones,Jorge Luis Borges,1944,Spanish
Sophie's Choice,William Styron,1979,English
Gypsy Ballads,Federico García Lorca,1928,Spanish
The Catcher in the Rye,J. D. Salinger,1951,English
No Orchids For Miss Blandish,James Hadley Chase,1939,English
The Origins of TotalitarianismThe Burden of Our Time,Hannah Arendt,1951,English
The Rosy Crucifixion,Henry Miller,1949–60,English
The Big Sleep,Raymond Chandler,1939,English
Under the Volcano,Malcolm Lowry,1947,English
Midnight's Children,Salman Rushdie,1981,English
